date,exit_time,equity_curve
2026-05-15,2026-05-15 06:47:00-07:00,-155.75
2026-05-15,2026-05-15 07:02:00-07:00,-86.0
2026-05-18,2026-05-18 09:28:00-07:00,-242.25
2026-05-18,2026-05-18 09:37:00-07:00,-206.0
2026-05-19,2026-05-19 07:14:00-07:00,-370.25
2026-05-19,2026-05-19 08:04:00-07:00,-342.0
2026-05-20,2026-05-20 06:51:00-07:00,-247.25
2026-05-20,2026-05-20 07:17:00-07:00,-440.0
2026-05-21,2026-05-21 10:23:00-07:00,-316.25
2026-05-21,2026-05-21 10:52:00-07:00,-440.0
2026-05-22,2026-05-22 06:40:00-07:00,-570.75
2026-05-22,2026-05-22 06:43:00-07:00,-509.0
