date,direction,entry_time,exit_time,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,gap_through_entry,ambiguous_entry,ambiguous_exit,equity_curve
2026-05-15,long,2026-05-15 06:45:00-07:00,2026-05-15 06:47:00-07:00,29168.0,29090.25,-77.75,-155.5,-155.75,stop_or_trail,True,True,False,-155.75
2026-05-15,long,2026-05-15 06:59:00-07:00,2026-05-15 07:02:00-07:00,29165.25,29200.25,35.0,70.0,69.75,stop_or_trail,True,True,True,-86.0
2026-05-18,long,2026-05-18 09:26:00-07:00,2026-05-18 09:28:00-07:00,28951.5,28873.5,-78.0,-156.0,-156.25,stop_or_trail,True,True,False,-242.25
2026-05-18,long,2026-05-18 09:33:00-07:00,2026-05-18 09:37:00-07:00,28925.5,28943.75,18.25,36.5,36.25,stop_or_trail,False,True,True,-206.0
2026-05-19,long,2026-05-19 07:07:00-07:00,2026-05-19 07:14:00-07:00,28833.75,28751.75,-82.0,-164.0,-164.25,stop_or_trail,True,True,False,-370.25
2026-05-19,long,2026-05-19 07:57:00-07:00,2026-05-19 08:04:00-07:00,28803.75,28818.0,14.25,28.5,28.25,stop_or_trail,False,True,True,-342.0
2026-05-20,short,2026-05-20 06:46:00-07:00,2026-05-20 06:51:00-07:00,29132.0,29084.5,47.5,95.0,94.75,stop_or_trail,True,True,True,-247.25
2026-05-20,short,2026-05-20 07:16:00-07:00,2026-05-20 07:17:00-07:00,29125.0,29221.25,-96.25,-192.5,-192.75,stop_or_trail,True,True,False,-440.0
2026-05-21,short,2026-05-21 10:21:00-07:00,2026-05-21 10:23:00-07:00,29441.5,29379.5,62.0,124.0,123.75,stop_or_trail,True,True,True,-316.25
2026-05-21,short,2026-05-21 10:37:00-07:00,2026-05-21 10:52:00-07:00,29452.0,29513.75,-61.75,-123.5,-123.75,stop_or_trail,True,True,False,-440.0
2026-05-22,short,2026-05-22 06:37:00-07:00,2026-05-22 06:40:00-07:00,29650.75,29716.0,-65.25,-130.5,-130.75,stop_or_trail,True,True,False,-570.75
2026-05-22,short,2026-05-22 06:42:00-07:00,2026-05-22 06:43:00-07:00,29664.0,29633.0,31.0,62.0,61.75,stop_or_trail,False,True,True,-509.0
