date,direction,entry_time,exit_time,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,gap_through_entry,ambiguous_entry,ambiguous_exit,equity_curve
2026-05-15,long,2026-05-15 06:45:00-07:00,2026-05-15 06:47:00-07:00,29168.5,29089.75,-78.75,-157.5,-157.75,stop_or_trail,True,True,False,-157.75
2026-05-15,long,2026-05-15 06:59:00-07:00,2026-05-15 07:02:00-07:00,29165.75,29199.75,34.0,68.0,67.75,stop_or_trail,True,True,True,-90.0
2026-05-18,long,2026-05-18 09:26:00-07:00,2026-05-18 09:28:00-07:00,28952.0,28873.0,-79.0,-158.0,-158.25,stop_or_trail,True,True,False,-248.25
2026-05-18,long,2026-05-18 09:33:00-07:00,2026-05-18 09:37:00-07:00,28926.0,28943.25,17.25,34.5,34.25,stop_or_trail,False,True,True,-214.0
2026-05-19,long,2026-05-19 07:07:00-07:00,2026-05-19 07:14:00-07:00,28834.25,28751.25,-83.0,-166.0,-166.25,stop_or_trail,True,True,False,-380.25
2026-05-19,long,2026-05-19 07:57:00-07:00,2026-05-19 08:04:00-07:00,28804.25,28817.5,13.25,26.5,26.25,stop_or_trail,False,True,True,-354.0
2026-05-20,short,2026-05-20 06:46:00-07:00,2026-05-20 06:51:00-07:00,29131.5,29085.0,46.5,93.0,92.75,stop_or_trail,True,True,True,-261.25
2026-05-20,short,2026-05-20 07:16:00-07:00,2026-05-20 07:17:00-07:00,29124.5,29221.75,-97.25,-194.5,-194.75,stop_or_trail,True,True,False,-456.0
2026-05-21,short,2026-05-21 10:21:00-07:00,2026-05-21 10:23:00-07:00,29441.0,29380.0,61.0,122.0,121.75,stop_or_trail,True,True,True,-334.25
2026-05-21,short,2026-05-21 10:37:00-07:00,2026-05-21 10:52:00-07:00,29451.5,29514.25,-62.75,-125.5,-125.75,stop_or_trail,True,True,False,-460.0
2026-05-22,short,2026-05-22 06:37:00-07:00,2026-05-22 06:40:00-07:00,29650.25,29716.5,-66.25,-132.5,-132.75,stop_or_trail,True,True,False,-592.75
2026-05-22,short,2026-05-22 06:42:00-07:00,2026-05-22 06:43:00-07:00,29663.5,29633.5,30.0,60.0,59.75,stop_or_trail,False,True,True,-533.0
